,weight1,height1,avg,count,Label
0,light,Short,mid,2,light-Short
1,light,Short,high,45,light-Short
2,light,Medium,mid,4,light-Medium
3,light,Medium,high,26,light-Medium
4,midlight,Short,mid,10,midlight-Short
5,midlight,Short,high,83,midlight-Short
6,midlight,Medium,mid,40,midlight-Medium
7,midlight,Medium,high,242,midlight-Medium
8,midlight,Tall,mid,1,midlight-Tall
9,midlight,Tall,high,3,midlight-Tall
10,medium,Short,high,20,medium-Short
11,medium,Medium,low,2,medium-Medium
12,medium,Medium,mid,45,medium-Medium
13,medium,Medium,high,269,medium-Medium
14,medium,Tall,mid,8,medium-Tall
15,medium,Tall,high,5,medium-Tall
16,midheavy,Medium,mid,9,midheavy-Medium
17,midheavy,Medium,high,49,midheavy-Medium
18,midheavy,Tall,mid,10,midheavy-Tall
19,midheavy,Tall,high,13,midheavy-Tall
20,heavy,Medium,high,2,heavy-Medium
21,heavy,Tall,mid,1,heavy-Tall
22,heavy,Tall,high,2,heavy-Tall
